VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,Distance,Time,TotalCost
V001,132,4.171428571428572,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V002,136,5.6,CD01-C020-C054-C024-C088-C014-C043-C059-C066-CD01,8,12-12-12-12-12-12-12-12,96,2.2723268253115863,79.53143888590552,59.64857916442913,739196.7261170041
V003,115,4.085714285714285,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V004,158,4.9714285714285715,CD01-C015-C086-C053-C018-CD01,4,12-19-12-12,55,0.9025647125057876,31.589764937702565,23.692323703276926,323747.87730300537
V005,109,4.771428571428571,CD01-C027-C003-C039-C035-CD01,4,12-16-12-12,52,1.0331057644439037,36.158701755536626,27.11902631665247,363340.97835583595
V006,109,3.914285714285714,CD01-C026-C009-CD01,2,13-10,23,0.5801097616913008,20.303841659195527,15.227881244396645,225947.29072097153
V007,126,2.657142857142857,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V008,79,3.8285714285714287,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V009,96,4.571428571428571,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V010,99,3.085714285714286,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V011,125,27.285714285714285,CD01-C062-CD01,1,12,12,0.24969027659305318,8.739159680756861,6.554369760567647,125731.06089067305
V012,98,20.457142857142856,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V013,86,29.228571428571428,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V014,74,30.742857142857144,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V015,85,26.914285714285715,CD01-C006-C046-C058-C042-C005-C070-C048-CD01,7,11-12-12-12-14-12-12,85,3.9694508863990428,138.9307810239665,104.19808576797486,1253934.4538448295
V016,22,0.6,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V017,25,0.34285714285714286,CD01-C077-C040-CD01,2,12-12,24,0.71913205711086,25.1696219988801,18.877216499160074,268112.7529217238
V018,30,0.34285714285714286,CD01-C080-CD01,1,5,5,0.5688347508465064,19.909216279627724,14.931912209720792,222527.5799317454
V019,27,0.2857142857142857,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V020,19,0.45714285714285713,CD01-C028-CD01,1,12,12,0.4093711027653071,14.327988596785747,10.745991447589311,174162.25546871766
V021,29,0.45714285714285713,CD01-C032-CD01,1,12,12,0.2997102278853451,10.489857975987078,7.867393481990309,140902.11211762516
V022,25,0.42857142857142855,CD01-C067-CD01,1,18,18,0.13176515453786206,4.611780408825172,3.4588353066188797,89964.37137133357
V023,18,0.37142857142857144,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V024,23,0.5428571428571428,CD01-C012-CD01,1,12,12,0.28239013138356467,9.883654598424764,7.4127409488185725,135648.92684863516
V025,27,0.2857142857142857,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V026,27,0.4,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V027,22,0.4857142857142857,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V028,31,0.5142857142857142,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V029,21,0.42857142857142855,CD01-C031-CD01,1,11,11,0.24142167682553886,8.44975868889386,6.337319016670396,123223.19458118593
V030,27,0.5142857142857142,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V031,151,2.9714285714285715,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V032,73,5.257142857142857,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V033,105,3.4571428571428573,CD01-C008-C089-C055-C017-CD01,4,8-23-12-12,55,1.331359978600748,46.59759925102618,34.94819943826963,453801.4815096069
V034,98,3.057142857142857,CD01-C082-C076-C004-C061-C041-C029-C001-CD01,7,12-12-22-12-12-12-13,95,2.382996041710291,83.40486145986019,62.55364609489513,772762.6994507312
V035,83,5.0285714285714285,CD01-CD01,0,0,0,0.0,0.0,0.0,0.0
V036,139,2.8857142857142857,CD01-C072-C047-C013-C016-C071-CD01,5,12-12-8-12-12,56,1.5485336957303333,54.19867935056166,40.64900951292125,519670.2699150101
V037,145,4.114285714285714,CD01-C081-C045-C083-C049-CD01,4,12-12-12-12,48,1.4243339134405832,49.85168697042042,37.38876522781531,482000.47594652895
